"product_id","name","category","price","original_price","discount_percent","rating_count","sold","image","size"
"1308031263","Váy lụa 2 dây cổ đổ phi lụa cao cấp","Váy","188100","190000","1","353","1400","https://img.lazcdn.com/g/p/894752ccd062909669bc81bac4d3f358.jpg_400x400q75.jpg","xl|m|s"
"2771453307","Đầm jean tay lửng phối nút chiết eo thời trang đi chơi, dự tiệc sang trọng DX","Váy","99000","128571","23","13","45","https://img.lazcdn.com/g/p/7cfb1099036e471675192af0ceadeb50.jpg_400x400q75.jpg","s|xl|m"
"2017259400","Đầm suông thời trang nữ mặc đi chơi chất tăm nhung y mẫu 100% cổ sơ mi tay ngắn túi hộp có bản eo nhiều màu","Váy","53000","53000","100","61","290","https://img.lazcdn.com/g/p/a77b6d047e303babf1ffebdead7bec6b.jpg_400x400q75.jpg","s|m|xl"
"2658441053","Váy bé gái - váy sát nách cotton 3 màu đáng iu cho bé gái","Váy","66930","126283","47","22","102","https://img.lazcdn.com/g/p/6c31b5f8166b8a6a663c51063a9f0777.jpg_400x400q75.jpg","xl|s"
"2614111504","Đầm nữ thời trang bánh bèo mặc đi chơi chất voan tơ xốp thiết kế trễ vai cúp ngực tay ngắn váy phồng xoè hai lớp cao cấp","Váy","53000","155882","66","3","20","https://img.lazcdn.com/g/p/a6395f46496321f7d20f64ff80ccb747.jpg_400x400q75.jpg","xl|m"
"3255354516","Đầm thời trang nữ phong cách tiểu thư xinh xắn chất Dạ đính hoa cổ V phối tay ngắn bồng dáng chữ A bận hách dáng","Váy","157000","348889","55","4","13","https://img.lazcdn.com/g/p/9dd9d5ac32970cc6445ef68d6172a283.jpg_400x400q75.jpg","s|m|xl"
"2380330055","Đầm body dáng dài cổ lọ qua gối chất len tăm co giãn 4 chiều sang chảnh, váy thiết kế bazzic phối đồ đẹp","Váy","89000","171154","48","0","0","https://img.lazcdn.com/g/p/a5035f8c95a6977e04b43ae202be4e3d.jpg_400x400q75.jpg","s|m"
"2623698779","Đầm nữ thời trang mặc đi chơi mát mẻ chất voan hoa thiết kế cổ tròn tay ngắn nhún eo váy maxi xoè hai lớp cao cấp","Váy","58000","156757","63","35","109","https://img.lazcdn.com/g/p/539479039a7cc7fa087b4498da038fa0.jpg_400x400q75.jpg","s|m|xl"
"2619043913","Đầm body nhún khoét eo dạo phố gợi cảm hách dáng","Váy","89000","167925","47","2","8","https://img.lazcdn.com/g/p/b00a1b6c2618a8c9fe0d9abe13d9c889.jpg_400x400q75.jpg","xl|m|s"
"3097374982","[ Thiết Kế 4 Tầng] Váy Công Chúa Trễ Vai Tay Bồng Dáng Xòe Tiểu Thư – Đầm Body Hở Vai Sang Chảnh Đi Tiệc","Váy","139000","248214","44","2","9","https://img.lazcdn.com/g/p/65fb03c7b32b531c583359dfdaff99da.jpg_400x400q75.jpg","m|xl"
"3174575358","Váy bé gái- váy bé gái cánh tiên cổ bèo thêu tim đính nơ chân váy phồng cho bé từ 1 tuổi đến 7 tuổi","Váy","90210","158263","43","14","59","https://img.lazcdn.com/g/p/34b1706633f77ce49b2e75f1563e0d2f.jpg_400x400q75.jpg","s|xl"
"2235432495","Đầm thời trang nữ mặc đi chơi chất VOAN hoa 2 lớp cổ vuông ren có mút ngực tay búp ngắn cột dây 2 màu váy suông dài","Váy","44000","146667","70","128","423","https://img.lazcdn.com/g/p/66799523048960b45b3e208b7e312895.jpg_400x400q75.jpg","m|s|xl"
"3194567907","QIAOXIZI | Đầm Maxi Velvet Ôm Body Elegance cho Phụ Nữ Plus Size","Váy","225000","750000","70","34","81","https://img.lazcdn.com/g/ff/kf/S5fc074c916d54198b2faeac577988e44Q.jpg_400x400q75.jpg","xl|m"
"2619009807","￼Váy 2 dây Váy trễ vai Váy đi biển Váy body dáng dài Đầm dự tiệc Đầm Gợi Cảm Nữ Mùa Hè Màu Trơn Cao Cấp vải xốp nhật cotton dày đẹp","Váy","69000","130189","47","5","15","https://img.lazcdn.com/g/p/e45467a5b68ccfad5f5e5c4da18d940c.jpg_400x400q75.jpg","xl|s|m"
"2420398316","Đầm thời trang nữ mặc đi chơi chất jeans cứng cao cấp fom suông cổ sơ mi tay ngắn kèm đai thắt lưng váy dài qua gối 2 màu","Váy","80000","160000","50","14","47","https://img.lazcdn.com/g/p/0c4faff633c5ac561814e45827701348.jpg_400x400q75.jpg","m|xl|s"
"1870782380","Đầm Gân Body Tay Ngắn Cổ Bẻ Trơn Basic","Váy","69000","69000","0","195","1300","https://img.lazcdn.com/g/p/08c8c91f1ffefc56b1d25ac7ad16253d.jpg_400x400q75.jpg","m|s|xl"
"1325859367","ĐẦM XÒE VOAN CỔ TIM DỰ TIỆC SIÊU DỄ THƯƠNG","Váy","79000","197500","60","7","27","https://img.lazcdn.com/g/p/a8abce6bbddd46ca7c30dd5982edd22c.jpg_400x400q75.jpg","s|m|xl"
"2094392812","Váy đầm thỏ hồng sn kids cho bé gái","Váy","69201","119312","42","1203","3800","https://img.lazcdn.com/g/ff/kf/Sa37feaafd6cd41ba9153762ed64260d80.jpg_400x400q75.jpg","m|s"
"2107377403","Đầm thời trang nữ mặc đi chơi chất nhung cứng tay dài phối nút cổ bèo chân váy xoè ngắn và đỏ","Váy","71000","154348","54","30","95","https://img.lazcdn.com/g/p/eccb92ec3bde319ffda11cbbd815d555.jpg_400x400q75.jpg","xl|m"
"1955021295","Đầm thời trang nữ mặc đi chơi, đầm ôm body cổ chéo vai màu đen chất thun gân tay dài","Váy","53000","108163","51","6","23","https://img.lazcdn.com/g/p/a44df92e7ccdc95ea8fd3f9d2ba5d965.jpg_400x400q75.jpg","xl|m|s"
"3064645687","Đầm maxi chất voan cao cấp cổ yếm bo eo thiết kế bắt mắt độc đáo trẻ trung đi dạo tiệc tùng cùng bạn bè","Váy","148000","328889","55","21","98","https://img.lazcdn.com/g/p/4fbaedc768683d75b82e6c131ca57320.jpg_400x400q75.jpg","xl|s"
"2766409825","Bé Gái Tươi Đầm Mùa Hè 2023 Mới Thời Trang Bé Gái Tay Ngắn Họa Tiết Hoa Đầm Công Chúa Váy Trẻ Em","Váy","169000","338000","50","20","65","https://img.lazcdn.com/g/p/196ec93dbcdb5d183054430d010c1d4a.jpg_400x400q75.jpg","xl|m"
"3050427573","Đầm NHUNG dáng dài trễ vai hình nơ 2 dây màu trơn đơn điệu sang trọng quý phái thích hợp các buổi tiệc","Váy","153000","340000","55","5","9","https://img.lazcdn.com/g/p/fbd690a5984d2f296d973f3000fcdef0.jpg_400x400q75.jpg","s|xl|m"
"2251104034","Đầm nữ thời trang mặc đi tiệc chất Tapta cổ vuông tay ngắn ôm eo váy phối chéo tà đi tiệc sang chảnh","Váy","53000","139474","62","109","345","https://img.lazcdn.com/g/p/8d25a56b390e8c666325a166682aa487.jpg_400x400q75.jpg","s|xl|m"
"2251091216","Đầm nữ thời trang mặc đi chơi chất thun gân cổ sơmi tay ngắn váy ôm body xẻ nhỏ sexy","Váy","98000","178182","45","5","13","https://img.lazcdn.com/g/p/a4e006b0f4dadd75874e370f201d1a8c.jpg_400x400q75.jpg","xl|m"
"3200092608","Đầm thiết kế thời trang nữ sang chảnh chất voan tay ngắn cổ tròn họa tiết in hoa nhí váy dáng xòe tầng kèm lót","Váy","148000","328889","55","2","9","https://img.lazcdn.com/g/p/757dd922274501d0b21196a9f0635769.jpg_400x400q75.jpg","s|xl"
"2844488777","Đầm thiết kế dáng ngắn chất nhung dày dặn phối áo tơ nến cổ sơ mi đính nơ xinh xinh tay dài phồng dễ thương","Váy","44000","146667","70","3","7","https://img.lazcdn.com/g/p/75ed79f9d43215b4347b8d940e6130c9.jpg_400x400q75.jpg","xl|s|m"
"2132895630","Váy ngủ lụa mềm mịn có độ bóng tự nhiên - Đầm ngủ 2 dây lụa đường may tỉ mỉ, sờ vào đã tay - Đỗ Thiện Unisex 01","Váy","63549","158872","60","148","674","https://img.lazcdn.com/g/p/32b44d4f09510796a02a92c7661f9d89.png_400x400q75.png","xl|m|s"
"2605311058","Đầm bling sáng dây đeo hở lưng váy treo cho phụ nữ","Váy","119000","120202","1","0","0","https://img.lazcdn.com/g/p/c3229c33266578886142d600dd956400.jpg_400x400q75.jpg","xl|m"
"2386782419","Đầm thời trang nữ mặc đi chơi chất cotton lạnh có mút trễ vai dây lệch 1 bên vai váy xoè xếp ly 2 màu đen và trắng","Váy","44000","129412","66","47","158","https://img.lazcdn.com/g/p/b33aaf8ac444e49003dedd599e25fe54.jpg_400x400q75.jpg","m|s|xl"
"2730751597","Đầm cúp ngực phối ren tà xếp tầng có lót cực tôn dáng xinh xắn MTB","Váy","69000","98571","30","2","11","https://img.lazcdn.com/g/p/d827a99c5bb124582a5460b249324dcc.jpg_400x400q75.jpg","m|s|xl"
"867718663","Chân Váy Nhún Đuôi Cá Dễ Thương, Thiết Kế Thời Trang, Phối Đồ Siêu Xinh","Váy","24900","49800","50","8","24","https://img.lazcdn.com/g/p/da1596bb89d9343e0677920396cb59dc.jpg_400x400q75.jpg","xl|m|s"
"3159323302","Váy bé gái kẻ xanh cổ sen đính thỏ dễ thương","Váy","81180","95506","15","5","22","https://img.lazcdn.com/g/p/046725c05752fe341f5817bba0185da8.jpg_400x400q75.jpg","s|xl|m"
"2352373131","Váy Suông, Đầm Suông Vải Bo Gân From Rộng, Dáng Dài, Chất Cotton Mát Mịn, Thời Trang, Siêu Xinh, Dạp Phố, Cafe Đều Đẹp ( Đủ Màu )","Váy","39900","99750","60","0","9","https://img.lazcdn.com/g/p/51a783573f8556b7f80f7ebfe3b165a4.jpg_400x400q75.jpg","m|s|xl"
"2435853647","ĐẦM VÁY THỜI TRANG NỮ MẶC ĐI DU LỊCH CHẤT VOAN IN HOA 2 DÂY MAXI IN HOẠ TIẾT VÁY XOÈ QUA GỐI QC","Váy","53000","155882","66","41","154","https://img.lazcdn.com/g/p/68e4061d58d9e12529307a258dab7320.jpg_400x400q75.jpg","xl|m|s"
"3162225177","Váy polo bé gái thêu họa tiết chân váy bèo nhiều tầng cho bé gái từ 1 tuổi đến 5 tuổi","Váy","92070","164411","44","7","22","https://img.lazcdn.com/g/p/19e9db7c3eec1d93254a624026c6c765.jpg_400x400q75.jpg","s|xl|m"
"2740384954","Váy 2 dây ôm body phối cúc bấm cổ sexy chất thun gân dày dặn, ĐẦM BA LỖ NÚT BẤM Nữ Women h161","Váy","59000","134091","56","11","31","https://img.lazcdn.com/g/p/c6ba293a0a15d51a4ea654158300f0c9.jpg_400x400q75.jpg","s|xl|m"
"3252901616","Váy Dệt Kim Hở Lưng Pure Desire Dành Cho Nữ Mùa Hè Thiết Kế Eo Thon Gọn Váy Chữ a Thanh Lịch Không Tay Cổ Tròn","Váy","145800","162000","10","1","461","https://img.lazcdn.com/g/ff/kf/Sb12cffd002424c17a6e192d3d57458f4w.jpg_400x400q75.jpg","m|s|xl"
"3255192119","Đầm thời trang nữ thiết kế dịu dàng chất cotton lạnh phối tơ tay búp cổ sơmi váy dáng ngắn xòe thiết kế nhiều màu xinh","Váy","148000","328889","55","0","5","https://img.lazcdn.com/g/p/f72bd145399407b97b03c91f1fc98b94.jpg_400x400q75.jpg","s|xl"
"2235433566","Đầm thời trang nữ mặc đi biển ngày hè mát mẻ chất lụa có mút ngực 2 dây váy maxi 4 màu váy kết nút dài","Váy","67000","134000","50","33","141","https://img.lazcdn.com/g/p/5e560aa99b2450774d916a76d7980694.jpg_400x400q75.jpg","xl|s|m"
"2236427641","Đầm nữ thời trang mặc đi chơi chất Tapta trễ vai phối lông tơ hở lưng thắt dây cổ váy chữ A đính cườm cao cấp","Váy","64000","136170","53","13","61","https://img.lazcdn.com/g/p/c155d667a380e07d4bf7e04028910d85.jpg_400x400q75.jpg","m|s|xl"
"2725945329","Beautiful striped dress 2024 Korean version lace up waist cinching loose skirt summer mid length plus size women's clothing","Váy","68761","132233","48","0","10","https://img.lazcdn.com/g/p/1c4f757da236b067766cbe381d5aa1d5.jpg_400x400q75.jpg","xl|s|m"
"1927446049","ĐẦM XÒE DỰ TIỆC TIỂU THƯ CHÉO DÂY SIÊU DỄ THƯƠNG","Váy","94000","200000","53","398","1300","https://img.lazcdn.com/g/p/0be73fe664a81b257d4fc5dcb4e74cb9.jpg_400x400q75.jpg","xl|s"
"461156389","[HCM]ĐẦM XÒE DỰ TIỆC PHỐI TAY LƯỚI KẾT CƯỜM DỄ THUONG","Váy","75000","150000","50","318","1300","https://img.lazcdn.com/g/p/05b67887a82fddd2db6e5fff64334e52.jpg_400x400q75.jpg","m|s|xl"
"3178574986","Váy ngủ sexy - Đầm ngủ Lụa mềm mịn 2 dây nữ 3 size 40-55kg","Váy","59865","119730","50","17","86","https://img.lazcdn.com/g/p/e398c58558ac926f7397ce3c3252a0f6.jpg_400x400q75.jpg","s|m|xl"
"2902584108","Đầm thiết dự tiệc sang chảnh chất vải tapta 2 dây trễ vai đính bông hoa dáng ngắn xoè form cứng cáp","Váy","139000","308889","55","1","7","https://img.lazcdn.com/g/p/c2961e8feda51964775fe6aa9fda190d.jpg_400x400q75.jpg","s|xl"
"3219018971","Chân Váy Bí Có Lót Trong Chất Thun Cotton Mềm Mịn Cho Bé Gái Mặc Thoải Mái Dễ Phối Đồ","Váy","55360","128744","57","0","14","https://img.lazcdn.com/g/p/93754360824436b103e7b2ce4289036e.jpg_400x400q75.jpg","m|xl|s"
"2619006923","Đầm 2 dây ôm body sợi mảnh váy sợi bún, tôn dáng, sexy,","Váy","49000","100000","51","10","44","https://img.lazcdn.com/g/p/bf4fb3b679305ba531b7ac0d93429f7c.jpg_400x400q75.jpg","xl|s"
"3267597764","Váy nhung bé gái sát nách dáng xoè đính nơ có khóa kéo sau lưng cho bé từ 1 tuổi đến 5 tuổi","Váy","109890","186254","41","5","17","https://img.lazcdn.com/g/p/d8dc39010bc7a942b1feda54f8a4b7f7.jpg_400x400q75.jpg","xl|m|s"
"2904410490","Đầm bé gái in hình BABY THREE","Váy","59000","62105","5","228","1000","https://img.lazcdn.com/g/ff/kf/Scbda5c160db34a61aa70d16eb4203003u.jpg_400x400q75.jpg","m|xl|s"
"2520884731","Đầm thời trang nữ mặc đi chơi Tết chất nhung kim tuyến cổ tròn tay ngắn phối nơ ngực to váy form babydol dễ thương","Váy","58000","156757","63","19","63","https://img.lazcdn.com/g/p/bb1b113b973011f2ca7de6a02b9c3b40.jpg_400x400q75.jpg","m|xl|s"
"2327978385","Đầm thời trang nữ mặc đi tiệc chất voan chinfon cao cấp bèo trên thân áo sát nách tay váy xoè dập ly maxi qua gối 2 màu hồng và xanh","Váy","80000","166667","52","89","282","https://img.lazcdn.com/g/p/dfdafea5e9454e098951d199e1b01834.jpg_400x400q75.jpg","xl|m"
"2400146130","Đầm thời trang nữ mặc đi chơi chất vaon hoa cổ v chéo nút bọc tay ngắn hoạ tiết hoa vàng váy xoè kèm lót QC","Váy","71000","154348","54","24","122","https://img.lazcdn.com/g/p/c997bc66c531a0a3c21932c920531678.jpg_400x400q75.jpg","m|s|xl"
"2343884048","Váy quây spa lụa cao cấp, mát mịn, chun chắc chắn, váy quây mặc triệt lông, massage","Váy","48000","48000","0","7","99","https://img.lazcdn.com/g/ff/kf/S3f03ea3a51a1430596285f165953af66i.jpg_400x400q75.jpg","s|m"
"2328010178","Đầm thời trang nữ mặc đi chơi chất voan hoa có mút kèm lót trễ vai có dây cột cổ tay phồng váy xoè ngắn tầng mini","Váy","67000","145652","54","10","48","https://img.lazcdn.com/g/p/270d2192a1b69553103e6d0aabcea500.jpg_400x400q75.jpg","s|m"
"2587674469","Đầm nữ thời trang dự tiệc chất tăm lạnh thiết kế cổ vuông xẻ vai tay dài váy maxi dáng suông sang chảnh","Váy","49000","140000","65","9","33","https://img.lazcdn.com/g/p/28d3f210c6bd2306d2086f75a4eefc03.jpg_400x400q75.jpg","s|m"
"2563929368","Đầm Body Nữ Dáng Dài Đuôi Cá gân Tăm, Váy ôm body sexy Hai Dây có mút tôn dáng cực đỉnh","Váy","69000","130189","47","7","18","https://img.lazcdn.com/g/p/ca199b6bf5e6c80bfc78083b8d7c6115.jpg_400x400q75.jpg","s|xl"
"1956205859","Đầm ôm sọc cổ pi tơ xinh đẹp kèm ảnh thật ĐS","Váy","54450","55000","1","20","96","https://img.lazcdn.com/g/ff/kf/Sd1ff7b37bba34894866e409090fbc79bq.jpg_400x400q75.jpg","m|s|xl"
"3200455975","Đầm thời trang nữ thiết kế chanh sả chất lụa nhung trễ vai chiết eo váy dáng dài xòe nhẹ nhàng thiết kế 3 màu sang xịn","Váy","152000","337778","55","22","67","https://img.lazcdn.com/g/p/43a35cc22ce77ae88130f50d71a77803.jpg_400x400q75.jpg","s|xl"
"3175065898","Đầm thời trang Nữ dáng chữ A ngắn chất ren hoa tay ngắn cổ trụ nhẹ nhàng đính phụ kiện nơ đẹp mắt kèm lót lụa tiện lợi","Váy","143000","317778","55","5","22","https://img.lazcdn.com/g/p/b2c22c365c377b365f7092b25c32a89e.jpg_400x400q75.jpg","xl|m|s"
"3050717022","Đầm thời trang nữ maxi ren phối tơ cổ V rộng trễ vai dài tay đình bông hoa eo sang chảnh dịu dàng","Váy","144000","320000","55","8","49","https://img.lazcdn.com/g/p/c0fbdce552260c73aaf5c48a93666ab4.jpg_400x400q75.jpg","m|s|xl"
